actual,proposed
-8.464110374450684,-8.0
-8.493075370788574,-8.0
-8.521966934204102,-8.0
-8.543587684631348,-8.0
-8.557978630065918,-8.0
-8.572351455688477,-8.0
-8.53104019165039,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.545330047607422,-8.0
-8.506413459777832,-8.0
-8.492142677307129,-8.0
-8.485000610351562,-8.0
-8.477853775024414,-8.0
-8.470703125,-8.0
-8.412928581237793,-8.0
-8.398649215698242,-8.0
-8.39150333404541,-8.0
-8.39150333404541,-8.0
-8.398649215698242,-8.0
-8.309181213378906,-8.0
-8.294936180114746,-8.0
-8.3020601272583,-8.0
-8.31629753112793,-8.0
-8.31629753112793,-8.0
-8.215087890625,-8.0
-8.208011627197266,-8.0
-8.208011627197266,-8.0
-8.215087890625,-8.0
-8.222160339355469,-8.0
-8.229228973388672,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.25341510772705,-8.0
-8.26047420501709,-8.0
-8.222904205322266,-8.0
-8.22994327545166,-8.0
-8.222904205322266,-8.0
-8.215862274169922,-8.0
-8.215862274169922,-8.0
-8.208462715148926,-8.0
-8.208462715148926,-8.0
-8.194372177124023,-8.0
-8.180264472961426,-8.0
-8.166141510009766,-8.0
-8.026017189025879,-8.0
-8.005006790161133,-8.0
-8.005006790161133,-8.0
-7.99098014831543,-7.995490074157715
-7.976938247680664,-7.9862141609191895
-7.976938247680664,-7.981576442718506
-7.849761962890625,-7.915668964385986
-7.856727123260498,-7.886198043823242
-7.856727123260498,-7.871462345123291
-7.842792987823486,-7.857127666473389
-7.842792987823486,-7.8499603271484375
-7.726785182952881,-7.788372993469238
-7.726785182952881,-7.7575788497924805
-7.726785182952881,-7.74218225479126
-7.699121475219727,-7.720651626586914
-7.685266971588135,-7.7029595375061035
-7.526437282562256,-7.61469841003418
-7.498922348022461,-7.55681037902832
-7.478249549865723,-7.5175299644470215
-7.457544326782227,-7.487536907196045
-7.436807155609131,-7.462172031402588
-7.252095699310303,-7.357133865356445
-7.231594562530518,-7.2943644523620605
-7.2179107666015625,-7.256137371063232
-7.211063861846924,-7.233600616455078
-7.1836419105529785,-7.208621501922607
-6.997929573059082,-7.103275775909424
-6.984393119812012,-7.043834209442139
-6.970844745635986,-7.0073394775390625
-6.9640655517578125,-6.9857025146484375
-6.943708419799805,-6.964705467224121
-6.936916351318359,-6.95081090927124
-6.732686996459961,-6.8417487144470215
-6.719359397888184,-6.780554294586182
-6.712690830230713,-6.746622562408447
-6.69266939163208,-6.719645977020264
-6.6859893798828125,-6.702817916870117
-6.561649799346924,-6.632233619689941
-6.568248271942139,-6.600241184234619
-6.568248271942139,-6.584244728088379
-6.568248271942139,-6.57624626159668
-6.561649799346924,-6.568948268890381
-6.473837375640869,-6.521392822265625
-6.493385314941406,-6.507389068603516
-6.512909889221191,-6.5101494789123535
-6.525912284851074,-6.518030643463135
-6.545396327972412,-6.531713485717773
-6.564855575561523,-6.548284530639648
-6.496432304382324,-6.522358417510986
-6.521972179412842,-6.522165298461914
-6.5410990715026855,-6.531631946563721
-6.566566467285156,-6.549099445343018
-6.579283714294434,-6.5641913414001465
-6.451158046722412,-6.507674694061279
-6.476119518280029,-6.491897106170654
-6.494815349578857,-6.493356227874756
-6.507266521453857,-6.500311374664307
-6.532139778137207,-6.516225337982178
-6.363232135772705,-6.439728736877441
-6.381467342376709,-6.410597801208496
-6.39968204498291,-6.405139923095703
-6.411813735961914,-6.408476829528809
-6.429994106292725,-6.419235706329346
-6.442340850830078,-6.430788516998291
-6.454428195953369,-6.44260835647583
-6.460468292236328,-6.4515380859375
-6.466506004333496,-6.459022045135498
-6.478574275970459,-6.4687981605529785
-6.427638530731201,-6.44821834564209
-6.433621883392334,-6.440919876098633
-6.433621883392334,-6.4372711181640625
-6.439602851867676,-6.438436985015869
-6.445581912994385,-6.442009449005127
-6.439602851867676,-6.4408063888549805
-6.332334995269775,-6.386570453643799
-6.338240146636963,-6.362405300140381
-6.344143390655518,-6.353274345397949
-6.338240146636963,-6.345757484436035
-6.332334995269775,-6.339046478271484
-6.251317024230957,-6.295181751251221
-6.257165908813477,-6.2761735916137695
-6.251317024230957,-6.263745307922363
-6.257165908813477,-6.26045560836792
-6.245466232299805,-6.252961158752441
-6.154409408569336,-6.203685283660889
-6.154409408569336,-6.179047107696533
-6.154409408569336,-6.1667280197143555
-6.148626804351807,-6.15767765045166
-6.154409408569336,-6.156043529510498
-6.062010288238525,-6.109026908874512
-6.06773042678833,-6.08837890625
-6.062010288238525,-6.075194358825684
-6.050564289093018,-6.06287956237793
-6.050564289093018,-6.0567216873168945
-6.033381462097168,-6.045051574707031
-5.932002067565918,-5.988526821136475
-5.926339149475098,-5.957432746887207
-5.9150071144104,-5.936220169067383
-5.926339149475098,-5.93127965927124
-5.920673847198486,-5.925976753234863
-5.919516086578369,-5.922746658325195
-5.902513027191162,-5.9126296043396
-5.9138503074646,-5.9132399559021
-5.919516086578369,-5.916378021240234
-5.908182621002197,-5.912280559539795
-5.82130765914917,-5.866794109344482
-5.82130765914917,-5.844050884246826
